serial_no,C1,C2,C3,C4,C5,C6,C8,C7
553,553,553,14700,70,4.25,18,Live,Healthy
554,554,554,24800,80,6.5,24,Closed,Healthy
555,555,555,13200,60,4.25,18,Closed,Healthy
556,556,556,23200,80,6.5,24,Closed,Healthy
557,557,557,16800,80,6.25,24,Closed,Healthy
558,558,558,21700,70,4.25,18,Closed,Healthy
559,559,559,57600,90,7,30,Closed,Healthy
560,560,560,16800,60,5.25,24,Closed,Healthy
561,561,561,20300,70,4.25,18,Closed,Healthy
562,562,562,21700,70,4.25,18,Closed,Healthy
563,563,563,15400,70,5.5,24,Closed,Healthy
564,564,564,13200,60,4.25,18,Live,Healthy
565,565,565,28000,80,6.5,24,Closed,Healthy
566,566,566,15200,80,5.25,18,Closed,Healthy
567,567,567,16800,80,5.25,18,Closed,Healthy
568,568,568,30400,80,6.5,24,Closed,Healthy
569,569,569,20300,70,4.25,18,Closed,Healthy
570,570,570,44800,70,5.75,30,Closed,Healthy
571,571,571,35200,80,7.5,36,Closed,Healthy
572,572,572,23200,80,6.5,24,Closed,Healthy
573,573,573,15400,70,4.5,18,Closed,Healthy
574,574,574,51200,80,7.25,24,Live,Healthy
575,575,575,17400,60,4.25,18,Closed,Healthy
576,576,576,30400,80,6.5,24,Live,Healthy
577,577,577,23200,80,5.5,18,Closed,Healthy
578,578,578,8700,30,4.25,18,Live,Unhealthy
579,579,579,23200,80,6.5,24,,Defaulted
580,580,580,27900,90,6.75,24,Closed,Healthy
581,581,581,23200,80,5.5,18,Closed,Healthy
582,582,582,19200,80,6.25,30,,Defaulted
583,583,583,27900,90,6.5,24,,Defaulted
584,584,584,19200,80,5.25,18,Closed,Healthy
585,585,585,31500,90,8.75,54,Live,Healthy
586,586,586,25200,90,7.75,36,Closed,Healthy
587,587,587,19800,90,6.5,30,,Defaulted
588,588,588,26100,90,7.75,36,,Defaulted
589,589,589,28000,80,5.5,18,,Defaulted
590,590,590,34200,90,6.5,30,Closed,Healthy
591,591,591,51200,80,7.75,42,Live,Unhealthy
592,592,592,19200,80,5.25,18,Live,Healthy
593,593,593,9500,50,4.25,12,Closed,Healthy
594,594,594,20300,70,4.5,18,Closed,Healthy
595,595,595,19600,70,4.5,18,Closed,Healthy
596,596,596,23200,80,5.5,18,Closed,Healthy
597,597,597,24500,70,4.5,18,Closed,Healthy
598,598,598,28000,80,6.5,24,Live,Healthy
599,599,599,22400,80,6.25,24,Closed,Healthy
600,600,600,12000,50,4.25,12,Closed,Healthy
601,601,601,16800,60,4.5,18,Closed,Healthy
602,602,602,26600,70,5.75,24,Live,Unhealthy
603,603,603,7000,20,4.25,12,Closed,Healthy
604,604,604,8800,40,4.25,12,Closed,Healthy
605,605,605,5600,20,4.25,12,Closed,Healthy
606,606,606,8700,30,4.25,12,Closed,Healthy
607,607,607,9600,40,4.25,12,Closed,Healthy
608,608,608,11200,40,4.25,12,Closed,Healthy
609,609,609,16800,70,4.5,18,Closed,Healthy
610,610,610,38400,80,6.25,18,Closed,Healthy
611,611,611,6300,30,4.25,12,Closed,Healthy
612,612,612,16800,70,4.5,12,Closed,Healthy
613,613,613,6300,30,4.25,12,Closed,Healthy
614,614,614,21000,60,4.75,18,Closed,Healthy
615,615,615,12400,40,4.5,12,Closed,Healthy
616,616,616,17400,60,4.5,18,Closed,Healthy
617,617,617,17400,60,4.5,18,Closed,Healthy
618,618,618,12000,50,4.5,18,Closed,Healthy
619,619,619,13200,60,4.5,12,Closed,Healthy
620,620,620,6300,30,4.25,12,Closed,Healthy
621,621,621,14500,50,4.5,12,Closed,Healthy
622,622,622,9500,50,4.25,12,Closed,Healthy
623,623,623,11000,50,4.25,12,Closed,Healthy
624,624,624,18600,60,4.5,18,Closed,Healthy
625,625,625,17400,60,4.5,18,Live,Healthy
626,626,626,12400,40,4.25,12,Closed,Healthy
627,627,627,14500,50,4.25,12,Closed,Healthy
628,628,628,24500,70,4.5,18,Closed,Healthy
629,629,629,0,0,NULL,NULL,,None
630,630,630,21700,70,4.5,12,Closed,Healthy
631,631,631,0,0,NULL,NULL,,None
632,632,632,34200,90,6.5,30,Closed,Healthy
633,633,633,33600,70,6.5,42,,Defaulted
634,634,634,25200,90,6.5,24,,Defaulted
635,635,635,57600,90,10,60,Live,Healthy
636,636,636,51300,90,7.75,42,Live,Healthy
637,637,637,0,0,NULL,NULL,,None
638,638,638,0,0,NULL,NULL,,None
639,639,639,17400,60,4.5,18,Closed,Healthy
640,640,640,15500,50,4.5,18,Closed,Healthy
641,641,641,0,0,NULL,NULL,,None
642,642,642,21000,60,4.5,18,Live,Unhealthy
643,643,643,11200,40,4.25,12,Closed,Healthy
644,644,644,8400,40,4.25,12,Closed,Healthy
645,645,645,0,0,NULL,NULL,,None
646,646,646,15500,50,4.5,12,Closed,Healthy
647,647,647,0,0,NULL,NULL,,None
648,648,648,4400,20,4,12,Closed,Healthy
649,649,649,14500,50,4.25,12,Closed,Healthy
650,650,650,17400,60,4.5,18,Live,Unhealthy
651,651,651,8700,30,4.25,12,Closed,Healthy
652,652,652,22400,80,6.25,30,Closed,Healthy
653,653,653,28000,80,6.5,30,Closed,Healthy
654,654,654,16800,80,5.25,18,,Defaulted
655,655,655,26100,90,7.5,36,Closed,Healthy
656,656,656,15200,80,5.25,18,Live,Healthy
657,657,657,8800,40,4.25,12,Closed,Healthy
658,658,658,8400,40,4.25,12,Closed,Healthy
659,659,659,24500,70,4.5,18,Closed,Healthy
660,660,660,24800,80,6.5,24,Closed,Healthy
661,661,661,13300,70,4.25,18,Closed,Healthy
662,662,662,6300,30,4.25,12,Closed,Healthy
663,663,663,7200,30,4.25,12,Closed,Healthy
664,664,664,8400,30,4.25,12,Closed,Healthy
665,665,665,16800,60,4.5,12,Closed,Healthy
666,666,666,11600,40,4.25,12,Closed,Healthy
667,667,667,6600,30,4.25,12,Closed,Healthy
668,668,668,14500,50,4.25,12,Closed,Healthy
669,669,669,0,0,NULL,NULL,,None
670,670,670,0,0,NULL,NULL,,None
671,671,671,11400,60,4.25,18,Closed,Healthy
672,672,672,28000,80,5.5,18,Closed,Healthy
673,673,673,12600,60,4.25,18,Closed,Healthy
674,674,674,57600,90,7,24,Closed,Healthy
675,675,675,35200,80,6.5,24,Closed,Healthy
676,676,676,24500,70,5.5,24,Closed,Healthy
677,677,677,57600,90,8,36,Closed,Healthy
678,678,678,20300,70,4.25,18,Closed,Healthy
679,679,679,7200,30,4.25,12,Closed,Healthy
680,680,680,8400,40,4.25,12,Closed,Healthy
681,681,681,0,0,NULL,NULL,,None
682,682,682,0,0,NULL,NULL,,None
683,683,683,11200,40,4.25,12,Closed,Healthy
684,684,684,0,0,NULL,NULL,,None
685,685,685,17400,60,4.5,12,Closed,Healthy
686,686,686,30800,70,4.75,18,Closed,Healthy
687,687,687,38400,60,4.75,18,Closed,Healthy
688,688,688,0,0,NULL,NULL,,None
689,689,689,0,0,NULL,NULL,,None
690,690,690,0,0,NULL,NULL,,None
691,691,691,26600,70,4.5,18,Closed,Healthy
692,692,692,21000,60,4.25,18,Closed,Healthy
693,693,693,0,0,NULL,NULL,,None
694,694,694,17400,60,4.25,18,Closed,Healthy
695,695,695,26100,90,8.5,30,Live,Healthy
696,696,696,16800,80,6.75,18,Closed,Healthy
697,697,697,15400,70,6.5,24,Closed,Healthy
698,698,698,16800,80,7.75,24,Closed,Healthy
699,699,699,31500,90,7,24,Closed,Healthy
